headline_n,likely_true,favors_r,benefits_r,important,funny,surprising,reputation_overall,reputation_engage,reputation_partyloyalty,likely_share,imag,old_new,veracity,img_path,img_set,img_idx,img_category
45,3.468468468468469,3.720720720720721,3.612612612612613,5.837837837837838,2.072072072072072,4.4774774774774775,3.81981981981982,4.495495495495495,4.378378378378378,2.4054054054054053,f_rnc quietly removes supporting american democracy from platform.jpg,new since november,fake,stimuli/f_rnc quietly removes supporting american democracy from platform.jpg,,32,
47,2.7096774193548385,4.731182795698925,4.78494623655914,3.4838709677419355,4.032258064516129,5.172043010752688,2.5591397849462365,3.5161290322580645,2.5268817204301075,2.3010752688172045,f_russian hackers insert porn pages into married mans browser history.jpg,new since november,fake,stimuli/f_russian hackers insert porn pages into married mans browser history.jpg,,33,
48,3.25,5.166666666666667,5.239583333333333,3.1979166666666665,3.489583333333333,4.729166666666667,2.802083333333333,3.53125,3.083333333333333,2.4375,f_saudi arabia forces whatsapp to veil emojis.jpg,new since november,fake,stimuli/f_saudi arabia forces whatsapp to veil emojis.jpg,,34,
49,1.6534653465346534,6.415841584158416,6.3861386138613865,3.5247524752475248,3.128712871287129,6.683168316831683,2.9603960396039604,4.514851485148514,3.435643564356436,1.881188118811881,f_shocking revelation and divorce after obama admits gay.jpg,new since november,fake,stimuli/f_shocking revelation and divorce after obama admits gay.jpg,,35,
50,3.344,6.144,6.24,6.536,1.96,4.664,3.696,4.424,4.168,2.696,f_soros arrested in philadelphia election interference.jpg,new since november,fake,stimuli/f_soros arrested in philadelphia election interference.jpg,,36,
51,1.7727272727272727,7.9,7.5,7.945454545454545,2.4545454545454546,6.9818181818181815,3.636363636363636,4.963636363636364,4.409090909090909,2.4,f_supreme court can extend trumps term by up to 3 years.jpg,new since november,fake,stimuli/f_supreme court can extend trumps term by up to 3 years.jpg,,37,
53,2.6043956043956045,8.56043956043956,8.208791208791208,7.6923076923076925,1.89010989010989,5.153846153846154,3.7472527472527473,4.835164835164835,4.406593406593407,2.1868131868131866,f_the definitve case proving trump won the election.jpg,new since november,fake,stimuli/f_the definitve case proving trump won the election.jpg,,38,
54,2.2065217391304346,5.0978260869565215,5.054347826086956,2.630434782608696,4.576086956521739,6.3478260869565215,2.4239130434782608,3.978260869565217,2.619565217391304,2.3043478260869565,f_trans species man who identifies as deer accidentally shot by hunters.jpg,new since november,fake,stimuli/f_trans species man who identifies as deer accidentally shot by hunters.jpg,,39,
55,2.831460674157303,4.53932584269663,4.48314606741573,2.7191011235955056,4.685393258426966,5.157303370786517,3.1235955056179776,4.404494382022472,3.865168539325843,2.292134831460674,f_trump administration to launch black beans matter campaign.jpg,new since november,fake,stimuli/f_trump administration to launch black beans matter campaign.jpg,,40,
56,3.2526315789473683,4.08421052631579,4.231578947368421,5.031578947368421,3.494736842105264,4.978947368421053,3.6,4.71578947368421,3.905263157894737,2.357894736842105,f_trump advisor denies moon landing.png,new since november,fake,stimuli/f_trump advisor denies moon landing.png,,41,
